==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=5
date & time of start is : 2024-11-27 11:06:31
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 12.703 M
   training starts!
[Epc 1] tt: 0.813, cl_st: 0.505, cl_wk: 0.617, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.235, t_vl: 0.292, t: 216s
[Epc 2] tt: 0.540, cl_st: 0.307, cl_wk: 0.463, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.178, t: 216s
[Epc 3] tt: 0.436, cl_st: 0.238, cl_wk: 0.394, cn_st: 0.043, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.123, t: 220s
[Epc 4] tt: 0.424, cl_st: 0.230, cl_wk: 0.386, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.063, t: 222s
[Epc 5] tt: 0.415, cl_st: 0.225, cl_wk: 0.378, cn_st: 0.017, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.064, t: 222s
[Epc 6] tt: 0.409, cl_st: 0.223, cl_wk: 0.370, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.081, t: 221s
[Epc 7] tt: 0.404, cl_st: 0.220, cl_wk: 0.366, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.048, t_vl: 0.055, t: 223s
[Epc 8] tt: 0.390, cl_st: 0.210, cl_wk: 0.359, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.088, t_vl: 0.058, t: 221s
[Epc 9] tt: 0.386, cl_st: 0.208, cl_wk: 0.355, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.211, t_vl: 0.041, t: 219s
[Epc 10] tt: 0.377, cl_st: 0.201, cl_wk: 0.350, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.269, t_vl: 0.025, t: 221s
[Epc 11] tt: 0.372, cl_st: 0.202, cl_wk: 0.337, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.377, t_vl: 0.012, t: 221s
[Epc 12] tt: 0.365, cl_st: 0.200, cl_wk: 0.325, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.320, t_vl: 0.032, t: 223s
[Epc 13] tt: 0.348, cl_st: 0.188, cl_wk: 0.312, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.449, t_vl: 0.055, t: 221s
[Epc 14] tt: 0.343, cl_st: 0.192, cl_wk: 0.294, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.468, t_vl: 0.081, t: 220s
[Epc 15] tt: 0.329, cl_st: 0.183, cl_wk: 0.283, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.465, t_vl: 0.135, t: 224s
[Epc 16] tt: 0.319, cl_st: 0.179, cl_wk: 0.270, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.475, t_vl: 0.188, t: 221s
[Epc 17] tt: 0.316, cl_st: 0.180, cl_wk: 0.260, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.610, t_vl: 0.207, t: 224s
[Epc 18] tt: 0.305, cl_st: 0.175, cl_wk: 0.246, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.630, t_vl: 0.279, t: 223s
[Epc 19] tt: 0.303, cl_st: 0.172, cl_wk: 0.247, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.636, t_vl: 0.352, t: 224s
[Epc 20] tt: 0.295, cl_st: 0.166, cl_wk: 0.241, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.682, t_vl: 0.380, t: 225s
[Epc 21] tt: 0.294, cl_st: 0.167, cl_wk: 0.237, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.763, t_vl: 0.387, t: 222s
[Epc 22] tt: 0.289, cl_st: 0.163, cl_wk: 0.234, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.670, t_vl: 0.410, t: 224s
[Epc 23] tt: 0.281, cl_st: 0.159, cl_wk: 0.224, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.823, t_vl: 0.488, t: 223s
[Epc 24] tt: 0.278, cl_st: 0.162, cl_wk: 0.212, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.778, t_vl: 0.550, t: 227s
[Epc 25] tt: 0.276, cl_st: 0.161, cl_wk: 0.207, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.861, t_vl: 0.618, t: 222s
[Epc 26] tt: 0.274, cl_st: 0.156, cl_wk: 0.214, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.857, t_vl: 0.713, t: 223s
[Epc 27] tt: 0.262, cl_st: 0.152, cl_wk: 0.198, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.927, t_vl: 0.727, t: 223s
[Epc 28] tt: 0.264, cl_st: 0.151, cl_wk: 0.202, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.873, t_vl: 0.778, t: 220s
[Epc 29] tt: 0.262, cl_st: 0.148, cl_wk: 0.200, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.921, t_vl: 0.793, t: 221s
